age,gender,marital_status,dependents,education,self_employed,income_annual,loan_amount,loan_amount_term,credit_history,property_area,loan_grade,debt_to_income_ratio,delinquencies_2yrs,open_accounts,total_accounts,risk_score,default,application_date,app_year,app_month,app_quarter,app_dayofweek,app_weekend,days_since_reference,loan_to_income_ratio,monthly_payment,debt_to_income,credit_to_loan_ratio,income_per_dependent,payment_to_income_ratio,age_group,income_group,loan_amount_group,debt_burden,risk_score_bucket
39,Male,Married,0,Graduate,No,22228.0,31786.0,36,1,Urban,B,0.2410629281325868,0,6,10,632,0,2023-01-07,2023,1,1,5,1,7,1.4299982004678784,882.9444444444445,0.47666606656529337,0.019882967343488236,22228.0,0.47666606680118173,35-44,Very Low,Medium,Medium,Good
33,Male,Single,0,Not Graduate,No,33947.0,11384.0,48,1,Urban,B,0.097408780664525,1,3,7,426,1,2023-05-07,2023,5,2,6,1,127,0.3353462750758535,237.16666666666666,0.08383656873932782,0.03742094166923569,33947.0,0.08383656876649376,25-34,Low,Small,Very Low,Poor
41,Male,Divorced,1,Graduate,No,19927.0,11720.0,60,1,Urban,E,0.2005415817356375,0,6,5,567,0,2023-07-26,2023,7,3,2,0,207,0.5881467355848848,195.33333333333334,0.11762934704614081,0.048378839586315794,9963.5,0.11762934711107395,35-44,Very Low,Small,Medium,Fair
50,Male,Married,0,Graduate,No,48479.0,38840.0,24,1,Urban,E,0.0993786939788658,1,4,7,690,0,2023-06-21,2023,6,2,2,0,172,0.8011716413292354,1618.3333333333333,0.4005858205654607,0.017765190524774325,48479.0,0.40058582065635456,45-54,Low,Medium,Very Low,Good
32,Male,Married,2,Graduate,No,25963.0,38860.0,36,1,Rural,A,0.1410603432135,0,5,2,599,1,2023-09-05,2023,9,3,1,0,248,1.4967453684088896,1079.4444444444443,0.4989151225723665,0.015414307771090728,8654.333333333334,0.4989151227837467,25-34,Very Low,Medium,Low,Fair
32,Female,Single,0,Not Graduate,Yes,29279.0,34517.0,36,1,Semiurban,A,0.1277491252490328,1,4,10,396,1,2023-02-27,2023,2,1,0,0,58,1.1788995525803476,958.8055555555555,0.39296651736572524,0.011472607700220974,29279.0,0.3929665175133611,25-34,Very Low,Medium,Low,Very Poor
50,Female,Married,1,Graduate,No,56861.0,75954.0,24,1,Semiurban,D,0.1346924108271345,3,5,5,688,0,2023-01-04,2023,1,1,2,0,4,1.3357837533634653,3164.75,0.66789187654078,0.009058114121585985,28430.5,0.6678918766699866,45-54,Low,Large,Low,Good
42,Female,Divorced,0,Graduate,No,47956.0,31478.0,60,1,Rural,A,0.1538335948132903,0,8,6,580,1,2023-09-07,2023,9,3,3,0,250,0.6563933605805321,524.6333333333333,0.13127867208325664,0.018425567062125118,47956.0,0.13127867211336897,35-44,Low,Medium,Low,Fair
30,Male,Married,1,Graduate,Yes,59082.0,54599.0,12,1,Urban,E,0.0211675068815713,0,8,11,620,0,2023-09-20,2023,9,3,2,0,263,0.9241224061473884,4549.916666666667,0.9241224059596922,0.011355519331647914,29541.0,0.924122406131747,25-34,Low,Large,Very Low,Good
40,Male,Widowed,0,Not Graduate,Yes,87443.0,120678.0,24,1,Rural,B,0.192372388580612,1,5,4,618,1,2023-02-25,2023,2,1,5,1,56,1.3800761639010555,5028.25,0.6900380818558323,0.005121065977186223,87443.0,0.6900380819426365,35-44,Medium,Very Large,Low,Good
30,Male,Divorced,1,Graduate,No,37678.0,36060.0,48,1,Semiurban,C,0.0400483639692075,0,4,8,509,1,2023-12-20,2023,12,4,2,0,354,0.9570571686395244,751.25,0.23926429208367822,0.014115363283025087,18839.0,0.23926429215353084,25-34,Low,Medium,Very Low,Fair
30,Female,Single,3,Graduate,No,104646.0,127656.0,24,1,Urban,D,0.2740451206230697,1,5,8,637,1,2023-01-27,2023,1,1,4,0,27,1.219884180952927,5319.0,0.60994209040652,0.0049899730525397165,26161.5,0.609942090470635,25-34,High,Very Large,Medium,Good
37,Male,Single,1,Not Graduate,No,40008.0,39774.0,48,1,Rural,B,0.1909287218717011,0,7,4,434,1,2023-07-10,2023,7,3,0,0,191,0.9941511697660468,828.625,0.24853779236696527,0.01091165082689919,20004.0,0.2485377924352995,35-44,Low,Medium,Low,Poor
18,Female,Divorced,1,Graduate,No,70179.0,78440.0,48,1,Semiurban,A,0.1847018031214447,0,3,5,508,1,2023-08-29,2023,8,3,1,0,241,1.1177132760512405,1634.1666666666667,0.2794283189650303,0.006476287608280517,35089.5,0.2794283190088285,18-24,Medium,Large,Low,Fair
18,Male,Married,0,Graduate,No,35796.0,13451.0,24,1,Semiurban,D,0.1192197407996487,0,5,14,525,0,2023-07-08,2023,7,3,5,1,189,0.37576824226170524,560.4583333333334,0.18788412106786767,0.039030555346143,35796.0,0.18788412112560385,18-24,Low,Small,Low,Fair
29,Male,Single,1,Graduate,No,55280.0,56630.0,24,1,Rural,E,0.1005900373392947,1,6,6,534,0,2023-07-18,2023,7,3,1,0,199,1.0244211287988423,2359.5833333333335,0.5122105642882321,0.009429630937499035,27640.0,0.5122105643901553,25-34,Low,Large,Low,Fair
24,Male,Single,0,Not Graduate,Yes,29335.0,22596.0,24,1,Rural,C,0.1537599683900951,0,5,5,363,1,2023-05-30,2023,5,2,1,0,150,0.7702744162263507,941.5,0.3851372079556282,0.016064790227648045,29335.0,0.3851372081000464,18-24,Very Low,Small,Low,Very Poor
38,Male,Married,0,Graduate,No,70949.0,37103.0,24,1,Rural,D,0.1989262252396373,1,7,11,630,0,2023-06-08,2023,6,2,3,0,159,0.5229531071614822,1545.9583333333333,0.26147655353651605,0.016979759048675856,70949.0,0.2614765535770557,35-44,Medium,Medium,Low,Good
25,Female,Married,1,Graduate,No,64570.0,22252.0,24,1,Semiurban,E,0.1403142332470379,1,9,5,587,1,2023-06-28,2023,6,2,2,0,179,0.344618243766455,927.1666666666666,0.17230912185120473,0.02637965126611632,32285.0,0.17230912188055894,25-34,Medium,Small,Low,Fair
20,Female,Single,0,Not Graduate,No,32636.0,15252.0,60,1,Rural,B,0.1396019118439048,0,5,4,330,1,2023-06-03,2023,6,2,5,1,154,0.46733668341708545,254.2,0.09346733664904988,0.02163650668622892,32636.0,0.09346733668055314,18-24,Low,Small,Low,Very Poor
49,Male,Single,0,Graduate,No,39265.0,46416.0,48,1,Urban,B,0.109995010958429,1,10,7,649,0,2023-05-09,2023,5,2,1,0,129,1.1821214822360882,967.0,0.2955303704687033,0.013982247500560534,39265.0,0.29553037055149545,45-54,Low,Medium,Low,Good
