age,gender,marital_status,dependents,education,self_employed,income_annual,loan_amount,loan_amount_term,credit_history,property_area,loan_grade,debt_to_income_ratio,delinquencies_2yrs,open_accounts,total_accounts,risk_score,default,application_date
39,Male,Married,0,Graduate,No,22228,31786,36,1,Urban,B,0.24106292813258684,0,6,10,632,0,2023-01-07
33,Male,Single,0,Not Graduate,No,33947,11384,48,1,Urban,B,0.09740878066452502,1,3,7,426,1,2023-05-07
41,Male,Divorced,1,Graduate,No,19927,11720,60,1,Urban,E,0.2005415817356375,0,6,5,567,0,2023-07-26
50,Male,Married,0,Graduate,No,48479,38840,24,1,Urban,E,0.09937869397886583,1,4,7,690,0,2023-06-21
32,Male,Married,2,Graduate,No,25963,38860,36,1,Rural,A,0.14106034321350003,0,5,2,599,1,2023-09-05
32,Female,Single,0,Not Graduate,Yes,29279,34517,36,1,Semiurban,A,0.1277491252490328,1,4,10,396,1,2023-02-27
50,Female,Married,1,Graduate,No,56861,75954,24,1,Semiurban,D,0.13469241082713454,3,5,5,688,0,2023-01-04
42,Female,Divorced,0,Graduate,No,47956,31478,60,1,Rural,A,0.15383359481329031,0,8,6,580,1,2023-09-07
30,Male,Married,1,Graduate,Yes,59082,54599,12,1,Urban,E,0.021167506881571367,0,8,11,620,0,2023-09-20
40,Male,Widowed,0,Not Graduate,Yes,87443,120678,24,1,Rural,B,0.19237238858061204,1,5,4,618,1,2023-02-25
30,Male,Divorced,1,Graduate,No,37678,36060,48,1,Semiurban,C,0.0400483639692075,0,4,8,509,1,2023-12-20
30,Female,Single,3,Graduate,No,104646,127656,24,1,Urban,D,0.27404512062306974,1,5,8,637,1,2023-01-27
37,Male,Single,1,Not Graduate,No,40008,39774,48,1,Rural,B,0.19092872187170118,0,7,4,434,1,2023-07-10
18,Female,Divorced,1,Graduate,No,70179,78440,48,1,Semiurban,A,0.1847018031214447,0,3,5,508,1,2023-08-29
18,Male,Married,0,Graduate,No,35796,13451,24,1,Semiurban,D,0.11921974079964873,0,5,14,525,0,2023-07-08
29,Male,Single,1,Graduate,No,55280,56630,24,1,Rural,E,0.10059003733929477,1,6,6,534,0,2023-07-18
24,Male,Single,0,Not Graduate,Yes,29335,22596,24,1,Rural,C,0.1537599683900951,0,5,5,363,1,2023-05-30
38,Male,Married,0,Graduate,No,70949,37103,24,1,Rural,D,0.19892622523963735,1,7,11,630,0,2023-06-08
25,Female,Married,1,Graduate,No,64570,22252,24,1,Semiurban,E,0.14031423324703796,1,9,5,587,1,2023-06-28
20,Female,Single,0,Not Graduate,No,32636,15252,60,1,Rural,B,0.13960191184390483,0,5,4,330,1,2023-06-03
49,Male,Single,0,Graduate,No,39265,46416,48,1,Urban,B,0.109995010958429,1,10,7,649,0,2023-05-09
32,Male,Divorced,1,Graduate,Yes,22649,23137,12,1,Rural,B,0.024537403946434354,0,5,12,463,1,2023-01-26
35,Female,Married,0,Not Graduate,Yes,57816,40957,60,1,Urban,A,0.0898393563176305,0,13,6,576,1,2023-10-17
20,Female,Married,0,Graduate,Yes,55287,55649,12,1,Semiurban,C,0.21447968941803333,0,4,5,580,0,2023-06-11
29,Male,Married,0,Graduate,No,19607,24402,48,1,Rural,A,0.18259092780878688,0,4,6,491,1,2023-02-26
36,Male,Married,0,Graduate,No,107553,142380,24,0,Rural,A,0.17833508269562925,0,9,6,433,0,2023-12-04
23,Male,Married,0,Graduate,No,44301,28422,12,1,Rural,B,0.2721680291717526,0,5,10,472,1,2023-08-03
38,Male,Married,1,Not Graduate,No,32333,22880,48,1,Urban,A,0.034512335835501014,0,7,12,504,1,2023-04-22
28,Male,Single,1,Graduate,No,66128,46627,36,1,Urban,A,0.3698390331311542,1,3,10,572,1,2023-10-28
32,Male,Married,1,Graduate,No,27972,20227,36,1,Rural,A,0.2810692548445093,1,8,9,554,0,2023-08-09
28,Male,Married,2,Not Graduate,No,69806,29741,36,0,Semiurban,D,0.13274210820713728,1,2,8,303,1,2023-09-16
53,Male,Widowed,0,Graduate,No,20168,29907,12,1,Rural,D,0.0561606174007498,2,4,7,609,1,2023-07-28
34,Male,Married,1,Graduate,Yes,32501,12516,48,1,Rural,D,0.13161580443646084,0,3,11,547,0,2023-09-12
24,Female,Divorced,0,Graduate,No,34762,13099,48,1,Rural,D,0.0968002656259842,1,6,10,480,1,2023-03-20
43,Female,Divorced,0,Graduate,No,27666,32320,12,1,Semiurban,E,0.16103690259992687,0,8,7,519,0,2023-03-24
